Year,Date,PlotDate,Daily_precipitation_mm,Cumulative_precipitation_mm
2024,2024-09-23,2000-09-23,0.1,350.28999999999996
2024,2024-09-24,2000-09-24,0.1,350.39
2024,2024-09-25,2000-09-25,0,350.39
2024,2024-09-26,2000-09-26,0,350.39
2024,2024-09-27,2000-09-27,0,350.39
2024,2024-09-28,2000-09-28,0,350.39
2024,2024-09-29,2000-09-29,0,350.39
2024,2024-09-30,2000-09-30,0,350.39
2024,2024-10-01,2000-10-01,0,350.39
2024,2024-10-02,2000-10-02,0,350.39
2024,2024-10-03,2000-10-03,0,350.39
2024,2024-10-04,2000-10-04,0,350.39
2024,2024-10-05,2000-10-05,0,350.39
2024,2024-10-06,2000-10-06,0,350.39
2024,2024-10-07,2000-10-07,0,350.39
2024,2024-10-08,2000-10-08,0,350.39
2024,2024-10-09,2000-10-09,0,350.39
2024,2024-10-10,2000-10-10,0,350.39
2024,2024-10-11,2000-10-11,0,350.39
2024,2024-10-12,2000-10-12,0.1,350.49
2024,2024-10-13,2000-10-13,0,350.49
2024,2024-10-14,2000-10-14,0,350.49
2024,2024-10-15,2000-10-15,0,350.49
2024,2024-10-16,2000-10-16,0,350.49
2024,2024-10-17,2000-10-17,0,350.49
2024,2024-10-18,2000-10-18,0,350.49
2024,2024-10-19,2000-10-19,0,350.49
2024,2024-10-20,2000-10-20,0,350.49
2024,2024-10-21,2000-10-21,0,350.49
2024,2024-10-22,2000-10-22,0,350.49
2024,2024-10-23,2000-10-23,0,350.49
2024,2024-10-24,2000-10-24,0.1,350.59000000000003
2024,2024-10-25,2000-10-25,0,350.59000000000003
2024,2024-10-26,2000-10-26,0,350.59000000000003
2024,2024-10-27,2000-10-27,0,350.59000000000003
2024,2024-10-28,2000-10-28,0,350.59000000000003
2024,2024-10-29,2000-10-29,0.1,350.69000000000005
2024,2024-10-30,2000-10-30,0,350.69000000000005
2024,2024-10-31,2000-10-31,0.1,350.7900000000001
2025,2025-04-15,2000-04-15,1.2,1.2
2025,2025-04-16,2000-04-16,0,1.2
2025,2025-04-17,2000-04-17,0,1.2
2025,2025-04-18,2000-04-18,13.3,14.5
2025,2025-04-19,2000-04-19,14.3,28.8
2025,2025-04-20,2000-04-20,0.6,29.400000000000002
2025,2025-04-21,2000-04-21,0.5,29.900000000000002
2025,2025-04-22,2000-04-22,0,29.900000000000002
2025,2025-04-23,2000-04-23,0,29.900000000000002
2025,2025-04-24,2000-04-24,0,29.900000000000002
2025,2025-04-25,2000-04-25,0,29.900000000000002
2025,2025-04-26,2000-04-26,0.1,30.000000000000004
2025,2025-04-27,2000-04-27,0,30.000000000000004
2025,2025-04-28,2000-04-28,0,30.000000000000004
2025,2025-04-29,2000-04-29,0,30.000000000000004
2025,2025-04-30,2000-04-30,0,30.000000000000004
2025,2025-05-01,2000-05-01,18.1,48.10000000000001
2025,2025-05-02,2000-05-02,0,48.10000000000001
2025,2025-05-03,2000-05-03,0,48.10000000000001
2025,2025-05-04,2000-05-04,0,48.10000000000001
2025,2025-05-05,2000-05-05,0.6,48.70000000000001
2025,2025-05-06,2000-05-06,0,48.70000000000001
2025,2025-05-07,2000-05-07,0,48.70000000000001
2025,2025-05-08,2000-05-08,0,48.70000000000001
2025,2025-05-09,2000-05-09,0,48.70000000000001
2025,2025-05-10,2000-05-10,0,48.70000000000001
2025,2025-05-11,2000-05-11,0,48.70000000000001
2025,2025-05-12,2000-05-12,0,48.70000000000001
2025,2025-05-13,2000-05-13,4.5,53.20000000000001
2025,2025-05-14,2000-05-14,3.6,56.80000000000001
2025,2025-05-15,2000-05-15,0.5,57.30000000000001
2025,2025-05-16,2000-05-16,18.3,75.60000000000001
2025,2025-05-17,2000-05-17,4.7,80.30000000000001
2025,2025-05-18,2000-05-18,0,80.30000000000001
2025,2025-05-19,2000-05-19,0,80.30000000000001
2025,2025-05-20,2000-05-20,9.9,90.20000000000002
2025,2025-05-21,2000-05-21,10.4,100.60000000000002
2025,2025-05-22,2000-05-22,3.6,104.20000000000002
2025,2025-05-23,2000-05-23,0,104.20000000000002
2025,2025-05-24,2000-05-24,0,104.20000000000002
2025,2025-05-25,2000-05-25,0,104.20000000000002
2025,2025-05-26,2000-05-26,0,104.20000000000002
2025,2025-05-27,2000-05-27,0,104.20000000000002
2025,2025-05-28,2000-05-28,11.5,115.70000000000002
2025,2025-05-29,2000-05-29,1.5,117.20000000000002
2025,2025-05-30,2000-05-30,0,117.20000000000002
2025,2025-05-31,2000-05-31,0,117.20000000000002
2025,2025-06-01,2000-06-01,0,117.20000000000002
2025,2025-06-02,2000-06-02,0,117.20000000000002
2025,2025-06-03,2000-06-03,0,117.20000000000002
2025,2025-06-04,2000-06-04,7.3,124.50000000000001
2025,2025-06-05,2000-06-05,0,124.50000000000001
2025,2025-06-06,2000-06-06,0,124.50000000000001
2025,2025-06-07,2000-06-07,0,124.50000000000001
2025,2025-06-08,2000-06-08,0,124.50000000000001
2025,2025-06-09,2000-06-09,0.8,125.30000000000001
2025,2025-06-10,2000-06-10,0,125.30000000000001
2025,2025-06-11,2000-06-11,0,125.30000000000001
2025,2025-06-12,2000-06-12,0.4,125.70000000000002
2025,2025-06-13,2000-06-13,1.2,126.90000000000002
2025,2025-06-14,2000-06-14,0,126.90000000000002
2025,2025-06-15,2000-06-15,0,126.90000000000002
2025,2025-06-16,2000-06-16,0,126.90000000000002
2025,2025-06-17,2000-06-17,0,126.90000000000002
