DateTime,DOY,CHK__1_1_1,DAQM_T_1_1_1,VIN_1_1_1,PPFD_1_1_1,P_RAIN_1_1_1,RG_1_1_1,RH_1_1_1,RN_1_1_1,SHF_1_1_1,SHF_2_1_1,SHF_3_1_1,SWC_1_1_1,SWC_2_1_1,TA_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,n_SHF,n_TS,n_SWC,SHF,TS,SWC
2024-01-02T02:30:00Z,1.8956,105.833,5.16927,12.1535,-9.22e-4,0,-3.07e-4,77.2412,-7.21739,-12.3702,-9.43986,-8.56,0.130542,NA,271.712,275.834,276.362,NA,3,2,1,-10.123353333333334,276.098,0.130542
2024-01-02T03:00:00Z,1.9165,137.9,5.24688,12.1532,-8.91e-4,0,-2.54e-4,77.6461,-6.98282,-12.5228,-9.52383,-8.64579,0.130517,NA,271.805,275.811,276.347,NA,3,2,1,-10.230806666666666,276.07899999999995,0.130517
2024-01-02T03:30:00Z,1.9373,128.533,5.32839,12.1523,-9.34e-4,0,-2.17e-4,76.955,-7.16676,-12.6099,-9.5718,-8.70016,0.130633,NA,271.888,275.781,276.332,NA,3,2,1,-10.293953333333333,276.0565,0.130633
2024-01-02T04:00:00Z,1.9581,115.433,5.3724,12.1525,-9.04e-4,0,-3.75e-4,77.444,-6.74024,-12.7586,-9.60068,-8.76165,0.130708,NA,271.906,275.733,276.317,NA,3,2,1,-10.373643333333334,276.025,0.130708
2024-01-02T04:30:00Z,1.979,108.767,5.41354,12.1531,-8.26e-4,0,-2.1e-4,78.3976,-6.64095,-12.9107,-9.62033,-8.84325,0.1302,NA,271.862,275.713,276.3,NA,3,2,1,-10.458093333333332,276.0065,0.1302
2024-01-02T05:00:00Z,2,100.567,5.40781,12.153,-9.14e-4,0,-3.07e-4,79.2154,-6.67108,-12.9798,-9.65391,-8.89927,0.129864,NA,271.84,275.683,276.284,NA,3,2,1,-10.510993333333333,275.9835,0.129864
2024-01-02T05:30:00Z,2.0208,127.533,5.44714,12.1534,-9.05e-4,0,-2.01e-4,79.6315,-6.35626,-13.0355,-9.66832,-8.93408,0.129538,NA,271.953,275.671,276.27,NA,3,2,1,-10.545966666666667,275.9705,0.129538
2024-01-02T06:00:00Z,2.0416,114.3,5.49844,12.1535,-8.46e-4,0,-2.45e-4,80.4522,-6.30437,-13.0024,-9.64683,-8.93027,0.129467,NA,272.018,275.66,276.257,NA,3,2,1,-10.5265,275.9585,0.129467
2024-01-02T06:30:00Z,2.0624,135.233,5.35182,12.1545,-6.85e-4,0,-3.74e-4,80.5847,-6.14529,-12.9495,-9.60954,-8.95397,0.129166,NA,272.069,275.644,276.247,NA,3,2,1,-10.504336666666667,275.94550000000004,0.129166
2024-01-02T07:00:00Z,2.0833,159.1,5.3388,12.1537,-7.66e-4,0,-2.04e-4,80.4511,-5.92939,-12.9392,-9.60137,-8.94981,0.129058,NA,272.143,275.614,276.236,NA,3,2,1,-10.496793333333333,275.92499999999995,0.129058
2024-01-02T07:30:00Z,2.1041,108.667,5.39557,12.1544,-7.95e-4,0,-1.81e-4,82.0091,-5.69893,-13.0012,-9.59182,-8.98678,0.129022,NA,272.14,275.602,276.225,NA,3,2,1,-10.5266,275.9135,0.129022
2024-01-02T08:00:00Z,2.1249,135.033,5.57083,12.1527,-8.3e-4,0,-1.6e-4,80.6216,-5.92317,-12.9536,-9.56234,-9.00517,0.129017,NA,272.156,275.587,276.215,NA,3,2,1,-10.507036666666666,275.90099999999995,0.129017
2024-01-02T08:30:00Z,2.1458,125.367,5.65651,12.1515,-9.48e-4,0,-2.35e-4,80.7093,-5.98844,-12.9543,-9.55221,-8.97571,0.128926,NA,272.15,275.556,276.204,NA,3,2,1,-10.494073333333333,275.88,0.128926
2024-01-02T09:00:00Z,2.1666,132.133,5.6375,12.1524,-7.85e-4,0,-2.1e-4,80.9878,-6.09709,-13.0672,-9.6001,-9.04109,0.128779,NA,272.109,275.529,276.193,NA,3,2,1,-10.569463333333333,275.861,0.128779
2024-01-02T09:30:00Z,2.1874,118.667,5.58438,12.1527,-8.54e-4,0,-2.44e-4,82.0382,-5.90415,-13.1564,-9.65718,-9.07632,0.12873,NA,272.08,275.512,276.178,NA,3,2,1,-10.629966666666666,275.845,0.12873
2024-01-02T10:00:00Z,2.2082,107.333,5.57839,12.1511,-6.22e-4,0,-2.29e-4,80.3064,-6.12734,-13.1987,-9.66763,-9.1063,0.128681,NA,271.831,275.478,276.166,NA,3,2,1,-10.657543333333333,275.822,0.128681
2024-01-02T10:30:00Z,2.2291,121.033,5.47083,12.1519,-9.05e-4,0,-1.06e-4,81.8621,-5.95193,-13.3303,-9.70921,-9.16735,0.128676,NA,271.731,275.443,276.152,NA,3,2,1,-10.73562,275.7975,0.128676
