site,Date,n_obs_NEE,n_obs_GPP,n_obs_Reco,NEE_gC_day,GPP_gC_day,Reco_gC_day,cov_NEE,cov_GPP,cov_Reco
LD,2024-04-27,48,48,48,1.9238472909800606,6.509178385475974,8.433025676456035,1,1,1
LD,2024-04-28,48,48,48,3.6394273874040395,5.609637352935029,9.249064740339069,1,1,1
LD,2024-04-29,48,48,48,2.0224773387575614,6.508185402145219,8.530662740902779,1,1,1
LD,2024-04-30,48,48,48,-3.503808193179064,12.127161233425124,8.62335304024606,1,1,1
LD,2024-05-01,48,48,48,-2.1224462929727204,11.919157973986383,9.796711681013665,1,1,1
LD,2024-05-02,48,48,48,-3.59182733914979,13.383003235154003,9.791175896004214,1,1,1
LD,2024-05-03,48,48,48,4.0391485100621916,6.585425635233502,10.624574145295695,1,1,1
LD,2024-05-04,48,48,48,-4.478398113015631,14.67393143270602,10.195533319690389,1,1,1
LD,2024-05-05,48,48,48,-1.6337535486739703,10.841416610955736,9.207663062281764,1,1,1
LD,2024-05-06,48,48,48,-4.873511915504252,12.882318640416383,8.008806724912128,1,1,1
LD,2024-05-07,48,48,48,0.39634317999092666,6.725764031599724,7.122107211590652,1,1,1
LD,2024-05-08,48,48,48,-3.0314032565201026,9.525474000502479,6.494070743982376,1,1,1
LD,2024-05-09,48,48,48,0.11586564677074061,5.706800214774867,5.822665861545607,1,1,1
LD,2024-05-10,48,48,48,-4.386404272666667,9.848105520800194,5.461701248133528,1,1,1
LD,2024-05-11,48,48,48,-2.9179144375880863,8.12644000918091,5.2085255715928245,1,1,1
LD,2024-05-12,48,48,48,-4.1082255428428205,9.593242898883206,5.485017356040386,1,1,1
LD,2024-05-13,48,48,48,-3.210359798417285,10.006488490091028,6.79612869167374,1,1,1
LD,2024-05-14,48,48,48,0.6628872672390342,5.685780937116571,6.3486682043556035,1,1,1
LD,2024-05-15,48,48,48,-6.120951546001946,12.937910122451086,6.816958576449139,1,1,1
LD,2024-05-16,48,48,48,-7.012141371092498,14.309660162821137,7.297518791728635,1,1,1
LD,2024-05-17,48,48,48,-3.877407477669114,12.22656147715349,8.349153999484372,1,1,1
LD,2024-05-18,48,48,48,-5.125305761530135,13.836263650418687,8.710957888888549,1,1,1
LD,2024-05-19,48,48,48,-4.597798730354089,14.80123269266178,10.20343396230769,1,1,1
LD,2024-05-20,48,48,48,-2.9898456005771226,12.504312753259732,9.514467152682608,1,1,1
LD,2024-05-21,48,48,48,-2.7457790128300608,13.036600913670277,10.29082190084022,1,1,1
LD,2024-05-22,48,48,48,-3.280175507519998,14.25773409396107,10.977558586441072,1,1,1
LD,2024-05-23,48,48,48,-5.323272810656509,15.359788823825712,10.036516013169201,1,1,1
LD,2024-05-24,48,48,48,-5.779507789665734,15.997547292432952,10.218039502767216,1,1,1
LD,2024-05-25,48,48,48,-4.276460327195436,14.793334522979388,10.516874195783949,1,1,1
LD,2024-05-26,48,48,48,-1.8844030063392672,11.445047798306907,9.56064479196764,1,1,1
LD,2024-05-27,48,48,48,-1.0735387380000003,10.272948879840175,9.199410141840172,1,1,1
LD,2024-05-28,48,48,48,-6.9857112245693544,15.94574429214744,8.960033067578085,1,1,1
LD,2024-05-29,48,48,48,-6.73520596998167,15.667784063046724,8.932578093065057,1,1,1
LD,2024-05-30,48,48,48,-6.720148629594723,15.074211046731122,8.3540624171364,1,1,1
LD,2024-05-31,48,48,48,-5.128623478577411,13.72929618196742,8.600672703390012,1,1,1
LD,2024-06-01,48,48,48,-2.664905366325522,11.239316590449102,8.574411224123578,1,1,1
LD,2024-06-02,48,48,48,-5.788518590707834,14.437283450154576,8.648764859446741,1,1,1
LD,2024-06-03,48,48,48,-6.109863471559899,14.87899298439889,8.769129512838989,1,1,1
LD,2024-06-04,48,48,48,-4.993595522814545,16.15607782781524,11.162482305000696,1,1,1
LD,2024-06-05,48,48,48,-0.12062291764043041,12.60386213138126,12.48323921374083,1,1,1
LD,2024-06-06,48,48,48,-3.1569077047878893,14.750066487388333,11.593158782600444,1,1,1
LD,2024-06-07,48,48,48,-0.7553831744065403,11.468087889840842,10.7127047154343,1,1,1
LD,2024-06-08,48,48,48,0.8051301334073434,9.365350536527309,10.170480669934655,1,1,1
LD,2024-06-09,48,48,48,-0.9050481639598182,10.695410602413906,9.790362438454089,1,1,1
LD,2024-06-10,48,48,48,-3.4850076292839165,12.460822975790041,8.975815346506128,1,1,1
LD,2024-06-11,48,48,48,-3.2319281202240955,12.33308754268915,9.101159422465056,1,1,1
LD,2024-06-12,48,48,48,-4.321056177672593,13.432198707022629,9.111142529350033,1,1,1
LD,2024-06-13,48,48,48,-4.503925356783376,13.757819397230401,9.25389404044702,1,1,1
LD,2024-06-14,48,48,48,-5.234477022323429,13.294094758968248,8.05961773664482,1,1,1
LD,2024-06-15,48,48,48,-3.654302776120048,11.173724224494553,7.519421448374505,1,1,1
LD,2024-06-16,48,48,48,-4.103994938678066,12.012222689713838,7.90822775103577,1,1,1
LD,2024-06-17,48,48,48,-4.8918463466399995,13.297666232490386,8.40581988585038,1,1,1
LD,2024-06-18,48,48,48,-5.354957026304561,14.244381820722094,8.889424794417533,1,1,1
LD,2024-06-19,48,48,48,-2.9540354173200005,13.02543463149036,10.071399214170357,1,1,1
LD,2024-06-20,48,48,48,-1.6276856046128263,12.125153070897467,10.497467466284638,1,1,1
LD,2024-06-21,48,48,48,-3.664418486045042,14.744816811926123,11.080398325881086,1,1,1
LD,2024-06-22,48,48,48,2.1586510669495675,9.295210443770026,11.453861510719598,1,1,1
LD,2024-06-23,48,48,48,2.6133552318059565,8.73515337496258,11.348508606768533,1,1,1
LD,2024-06-24,48,48,48,-3.49571526018351,15.056111827880372,11.560396567696857,1,1,1
LD,2024-06-25,48,48,48,-1.1747850106982811,13.888181130074814,12.713396119376528,1,1,1
LD,2024-06-26,48,48,48,0.973570811596359,11.764916198843194,12.738487010439549,1,1,1
LD,2024-06-27,48,48,48,-4.367312411033345,15.522577478435178,11.155265067401832,1,1,1
LD,2024-06-28,48,48,48,-0.888642638157324,12.16999378688399,11.281351148726669,1,1,1
LD,2024-06-29,48,48,48,-0.2091015664251731,12.606286850183121,12.39718528375795,1,1,1
LD,2024-06-30,48,48,48,-4.900330663118642,15.874300903685757,10.97397024056711,1,1,1
LD,2024-07-01,48,48,48,-5.655828098666343,15.670219826492142,10.014391727825798,1,1,1
LD,2024-07-02,48,48,48,-0.13968376154415751,10.44898734268403,10.309303581139872,1,1,1
LD,2024-07-03,48,48,48,-1.299261166682038,12.46934431754578,11.170083150863745,1,1,1
LD,2024-07-04,48,48,48,-4.896290777723562,16.27070529088265,11.374414513159087,1,1,1
LD,2024-07-05,48,48,48,-4.520878052269293,15.598398364724764,11.077520312455471,1,1,1
LD,2024-07-06,48,48,48,-3.363146938373181,13.77504236911871,10.411895430745531,1,1,1
LD,2024-07-07,48,48,48,-3.3611869673476362,13.276287651925998,9.915100684578361,1,1,1
LD,2024-07-08,48,48,48,-2.7084161917427427,12.066000578145463,9.357584386402719,1,1,1
LD,2024-07-09,48,48,48,-3.0600621631531513,11.928601858417885,8.868539695264737,1,1,1
LD,2024-07-10,48,48,48,-3.1510673897633494,11.519614384489593,8.368546994726247,1,1,1
LD,2024-07-11,48,48,48,-5.3381405638848545,13.285264003138948,7.9471234392540975,1,1,1
LD,2024-07-12,48,48,48,-3.400943439026313,11.11738456452526,7.716441125498948,1,1,1
LD,2024-07-13,48,48,48,-5.243318098893926,12.533032844414743,7.289714745520815,1,1,1
LD,2024-07-14,48,48,48,-1.9242806842822864,10.894557674066021,8.970276989783734,1,1,1
LD,2024-07-15,48,48,48,-2.914964151854318,17.422548340152275,14.507584188297956,1,1,1
LD,2024-07-16,48,48,48,0.5298899529974747,15.41731410421685,15.947204057214325,1,1,1
LD,2024-07-17,48,48,48,-7.427401843100945,21.972273661043015,14.544871817942068,1,1,1
LD,2024-07-18,48,48,48,-3.775905493760603,16.542879275734567,12.766973781973967,1,1,1
LD,2024-07-19,48,48,48,-4.120810131490764,16.329772682759867,12.208962551269103,1,1,1
LD,2024-07-20,48,48,48,-3.2877226612275936,15.179404596490516,11.891681935262921,1,1,1
LD,2024-07-21,48,48,48,-4.462561515656863,16.216234108513273,11.75367259285642,1,1,1
LD,2024-07-22,48,48,48,-5.714540637980343,16.794953287961533,11.080412649981193,1,1,1
LD,2024-07-23,48,48,48,-3.7751871899036518,13.670377022946427,9.895189833042778,1,1,1
LD,2024-07-24,48,48,48,-3.1093704137227918,12.524278545320556,9.414908131597764,1,1,1
LD,2024-07-25,48,48,48,-5.728158135625555,14.069630477699327,8.34147234207377,1,1,1
LD,2024-07-26,48,48,48,-3.9761468314659134,12.924554012861922,8.948407181396009,1,1,1
LD,2024-07-27,48,48,48,-3.836795837886871,13.872970737793533,10.03617489990666,1,1,1
LD,2024-07-28,48,48,48,-4.558983871212004,15.204776780235976,10.645792909023971,1,1,1
LD,2024-07-29,48,48,48,-1.4200713067823045,13.368730619494666,11.948659312712362,1,1,1
LD,2024-07-30,48,48,48,-2.804759301618985,15.315973377196785,12.5112140755778,1,1,1
LD,2024-07-31,48,48,48,-2.2913513593546417,15.048748970198657,12.757397610844015,1,1,1
LD,2024-08-01,48,48,48,-1.8777927927226523,13.98676453039001,12.108971737667362,1,1,1
LD,2024-08-02,48,48,48,-1.016098706530797,12.538393539933836,11.522294833403034,1,1,1
LD,2024-08-03,48,48,48,-3.6883072951664375,14.71613788022803,11.027830585061592,1,1,1
LD,2024-08-04,48,48,48,-4.562462624649948,14.525561494860222,9.963098870210272,1,1,1
LD,2024-08-05,48,48,48,-0.4430733968700499,9.638769597052246,9.195696200182198,1,1,1
LD,2024-08-06,48,48,48,-1.7274751188526025,9.47360149287665,7.746126374024048,1,1,1
LD,2024-08-07,48,48,48,-5.460062958859063,12.567686547160042,7.10762358830098,1,1,1
LD,2024-08-08,48,48,48,-5.246208811701716,11.747010717062057,6.500801905360341,1,1,1
LD,2024-08-09,48,48,48,-3.9062620347643486,9.69978195419672,5.793519919432371,1,1,1
LD,2024-08-10,48,48,48,-4.607454647152731,10.004378888089182,5.396924240936453,1,1,1
LD,2024-08-11,48,48,48,-4.900836319632978,10.911774162028681,6.0109378423957,1,1,1
LD,2024-08-12,48,48,48,-5.80105564847282,12.206434902762528,6.4053792542897074,1,1,1
LD,2024-08-13,48,48,48,-4.564948342579039,11.22440673433459,6.6594583917555505,1,1,1
LD,2024-08-14,48,48,48,-2.487059142692707,9.253543525705007,6.766484383012302,1,1,1
LD,2024-08-15,48,48,48,-1.683375196013687,8.357104473475893,6.673729277462203,1,1,1
LD,2024-08-16,48,48,48,-1.5201086472719996,8.420151262792293,6.900042615520294,1,1,1
LD,2024-08-17,48,48,48,-1.087887356352,8.853428991126693,7.76554163477469,1,1,1
LD,2024-08-18,48,48,48,-1.681010751155205,10.035816640333639,8.354805889178433,1,1,1
LD,2024-08-19,48,48,48,-2.9871722026789516,11.779010991352516,8.79183878867356,1,1,1
LD,2024-08-20,48,48,48,-6.216618250023433,15.271133335171783,9.054515085148353,1,1,1
LD,2024-08-21,48,48,48,-5.888428709372163,15.715837865285389,9.827409155913225,1,1,1
LD,2024-08-22,48,48,48,-7.024328281704087,17.74890984304058,10.724581561336493,1,1,1
LD,2024-08-23,48,48,48,-8.012717203363069,18.080994919721697,10.06827771635863,1,1,1
LD,2024-08-24,48,48,48,-1.4483760419399987,11.417102485265199,9.968726443325199,1,1,1
LD,2024-08-25,48,48,48,1.4060129005388575,10.121542659819331,11.527555560358188,1,1,1
LD,2024-08-26,48,48,48,1.3768286382694275,11.555237332372728,12.932065970642153,1,1,1
LD,2024-08-27,48,48,48,0.19692528076524676,13.768329188105405,13.965254468870652,1,1,1
LD,2024-08-28,48,48,48,-1.8808976239640514,16.157162983831498,14.276265359867443,1,1,1
LD,2024-08-29,48,48,48,-2.1437707927261616,17.393849377501258,15.250078584775096,1,1,1
LD,2024-08-30,48,48,48,-1.8423370656787714,14.166958464409605,12.32462139873084,1,1,1
LD,2024-08-31,48,48,48,-0.8953250667649055,9.362755090226159,8.467430023461253,1,1,1
LD,2024-09-01,48,48,48,0.5545345023515639,4.058846940925867,4.613381443277434,1,1,1
LD,2024-09-02,48,48,48,-3.347487696874092,4.99536824754437,1.647880550670278,1,1,1
LD,2024-09-03,48,48,48,-2.433394094242091,4.0098005121448965,1.5764064179028046,1,1,1
LD,2024-09-04,48,48,48,-2.5728555363801435,4.319026724652291,1.7461711882721473,1,1,1
LD,2024-09-05,48,48,48,-2.5872968126341713,4.483122085828672,1.8958252731945002,1,1,1
LD,2024-09-06,48,48,48,-2.981358386280593,5.048047189202774,2.0666888029221804,1,1,1
LD,2024-09-07,48,48,48,-2.256873445544662,4.504360429289496,2.2474869837448344,1,1,1
LD,2024-09-08,48,48,48,-1.74479663879893,4.15031667209166,2.405520033292728,1,1,1
LD,2024-09-09,48,48,48,-3.4380172034331427,5.948700025221258,2.5106828217881167,1,1,1
LD,2024-09-10,48,48,48,-3.4971081705514293,6.15617831527214,2.659070144720711,1,1,1
LD,2024-09-11,48,48,48,-3.4374995247553306,6.270509722347109,2.8330101975917774,1,1,1
LD,2024-09-12,48,48,48,-1.269921688244888,4.274896088537507,3.0049744002926184,1,1,1
LD,2024-09-13,48,48,48,-2.140166747291087,5.448284999809215,3.308118252518126,1,1,1
LD,2024-09-14,48,48,48,-1.4415514013111699,4.901190792423024,3.459639391111853,1,1,1
LD,2024-09-15,48,48,48,-1.2719223825851511,4.965038377400797,3.6931159948156442,1,1,1
LD,2024-09-16,48,48,48,-1.6762650309011071,5.552445052736056,3.8761800218349474,1,1,1
LD,2024-09-17,48,48,48,-1.3854388234155637,5.134101515325214,3.7486626919096513,1,1,1
