Date,Rg_mean_Wm2,Tair_mean_C,RH_pct_mean,P_sum,SHF_Wm2_mean,TS_C_mean,SWC_mean,n_SHF_mean,n_TS_mean,n_SWC_mean
2024-04-02,28.834486653749998,3.226583333333358,92.04455833333333,0.013999999999999999,-2.05293934375,4.405083333333363,0.23127072916666666,2,2,1
2024-04-03,104.65044868541666,3.119375000000018,86.81039791666666,0.0059000000000000025,0.5810794177083335,4.338270833333354,0.23367827083333334,2,2,1
2024-04-04,110.97742752291666,3.2278125000000184,85.42738125,0.0018000000000000002,0.11191691666666714,4.488281250000026,0.21974847916666668,2,2,1
2024-04-05,215.21344753333335,4.357291666666686,69.36461875,5e-4,0.71058621875,4.696718750000024,0.21632516666666668,2,2,1
2024-04-06,274.2969403077708,5.876375000000019,49.159054166666664,0,1.2971356979166673,4.656364583333362,0.20730175,2,2,1
2024-04-07,192.1272116878125,7.932416666666691,49.74518333333334,0,1.472058916666668,4.776927083333359,0.214053125,2,1.9583333333333333,1
2024-04-08,229.63020051235415,11.970020833333358,53.97830208333333,0.0013000000000000002,10.904665391145834,6.709281250000021,0.257876375,2,2,1
2024-04-09,264.9786124634792,13.396250000000027,52.779204166666666,0,11.075474927083333,7.862802083333355,0.27987084375,2,2,1.8333333333333335
2024-04-10,246.55916640923914,10.320760869565241,61.521373913043476,0,6.354909782608695,7.867952898550745,0.28417671739130435,2,2.8043478260869565,1.934782608695652
2024-04-11,65.57559617435898,10.214923076923096,69.52359487179487,0.0025,3.108002192307692,8.130478632478654,0.26528608974358975,2,3,2
2024-04-12,114.93969682822086,8.063875000000023,83.68977083333333,0.006600000000000001,3.2904311114583327,7.758270833333359,0.28713733333333336,2,3,2
2024-04-13,220.94394490342103,7.59484210526318,57.71688947368421,0,-3.9532435219298248,6.97828947368423,0.2887031447368421,2.7894736842105265,3,2
2024-04-15,408.4815,18.89766666666668,25.75763333333333,0,31.598316666666665,12.438777777777801,0.2762421666666667,3,3,2
2024-04-16,250.58868045850002,12.735583333333356,44.86469375,0,4.920819756944445,9.442944444444471,0.27245582291666665,3,3,2
2024-04-17,98.5768962273375,13.984645833333355,68.40199375,0.0072,10.77371948402778,10.45732638888891,0.2718084479166667,3,3,2
2024-04-18,117.09323183175417,9.491166666666686,74.74311875,3.0000000000000003e-4,2.579843888888888,9.953631944444465,0.2770743958333333,3,3,2
2024-04-19,300.5642492022771,7.245562500000018,64.17761875,7.999999999999999e-4,1.4297382695763887,9.447965277777806,0.27547840625,3,3,2
2024-04-20,146.3500975637898,4.079000000000024,51.98398125,0,-8.052319139583334,7.944631944444467,0.2726365625,3,3,2
2024-04-21,298.2558459093563,4.8703750000000205,52.15519583333333,0,-0.9034901319444454,7.594854166666687,0.2701052916666667,3,3,2
2024-04-22,281.7598862596042,8.850062500000027,49.38335416666666,0,3.4296642548611134,8.210229166666686,0.26682272916666666,3,3,2
2024-04-23,20.40002945337536,12.529821428571454,45.23816428571429,0,-0.745275,8.9197023809524,0.26324016071428574,3,3,2
2024-04-24,289.109,10.968000000000018,36.4958,0,16.119333333333334,10.934666666666658,0.266826,3,3,2
2024-04-25,316.7638405055915,5.308829787234068,53.470034042553195,0,0.7788729858156027,8.416531914893637,0.2647056489361702,3,3,2
