DateTime,Date,Rg_used_Wm2,Tair_used_C,RH_used_pct,VPD_used_kPa,P_used_mm_30,Rg_src,Tair_src,RH_src,SWC,TS,n_SWC,n_TS,TS_C
2024-01-02T08:30:00Z,2024-01-02,0,-1,80.7093,0.10952331407112831,0,biomet,biomet,biomet,0.128926,275.88,1,2,2.730000000000018
2024-01-02T09:00:00Z,2024-01-02,0,-1.0409999999999968,80.9878,0.10761774104949184,0,biomet,biomet,biomet,0.128779,275.861,1,2,2.7110000000000127
2024-01-02T09:30:00Z,2024-01-02,0,-1.0699999999999932,82.0382,0.10145572329708286,0,biomet,biomet,biomet,0.12873,275.845,1,2,2.69500000000005
2024-01-02T10:00:00Z,2024-01-02,0,-1.31899999999996,80.3064,0.10921993356865312,0,biomet,biomet,biomet,0.128681,275.822,1,2,2.6720000000000255
2024-01-02T10:30:00Z,2024-01-02,0,-1.4189999999999827,81.8621,0.09985420169046771,0,biomet,biomet,biomet,0.128676,275.7975,1,2,2.6475000000000364
2024-01-02T11:00:00Z,2024-01-02,0,-1.481999999999971,82.8863,0.09377940363097048,0,biomet,biomet,biomet,0.128676,275.77200000000005,1,2,2.622000000000071
2024-01-02T11:30:00Z,2024-01-02,0,-1.5739999999999554,84.3658,0.08509295159909869,0,biomet,biomet,biomet,0.128644,275.754,1,2,2.604000000000042
2024-01-02T12:00:00Z,2024-01-02,0,-1.6339999999999577,83.3908,0.0900003792050254,0,biomet,biomet,biomet,0.128596,275.7375,1,2,2.587500000000034
2024-01-02T12:30:00Z,2024-01-02,0,-1.5789999999999509,83.0061,0.09245934848540799,0,biomet,biomet,biomet,0.128527,275.71299999999997,1,2,2.562999999999988
2024-01-02T13:00:00Z,2024-01-02,0.0868154,-1.5120000000000005,83.4379,0.09055630144749716,0,biomet,biomet,biomet,0.128466,275.6875,1,2,2.5375000000000227
2024-01-02T13:30:00Z,2024-01-02,2.50191,-1.5109999999999673,83.3559,0.09101135988290959,0,biomet,biomet,biomet,0.128602,275.666,1,2,2.5160000000000196
