Date,LD_NEE_gC_day,MD_NEE_gC_day,LD_GPP_gC_day,MD_GPP_gC_day,LD_Reco_gC_day,MD_Reco_gC_day,LD_VPD_mean_kPa,MD_VPD_mean_kPa,LD_VPD_day_kPa,MD_VPD_day_kPa,LD_VPD_midday_kPa,MD_VPD_midday_kPa,n_hh,n_Rg,frac_Rg,Rg_mean_Wm2,Rg_max_Wm2,Tair_mean_C,Tair_max_C,Tair_min_C,RH_mean_pct,VPD_mean_kPa,VPD_max_kPa,P_used_mm,SWC_mean,TS_mean_C,n_SWC_mean,n_TS_mean,n_Rg_from_Grant,n_Tair_from_Grant,n_RH_from_Grant,frac_Rg_from_Grant,frac_Tair_from_Grant,frac_RH_from_Grant
2024-01-24,0.7122082259254106,1.9308218791377703,0.5184085994605181,-0.622632183481237,1.230616825385928,1.3081896956565333,0,0.028277952083333332,NA,NA,0,0.01551032,15,15,1,81.27688519454519,179.732,1.9726666666666863,2.1650000000000205,1.54,97.41558,0.018267651034706903,0.0287420590210119,11.110000000000005,0.20581457142857143,2.050285714285747,0.9333333333333333,1.8666666666666667,1,1,1,0.06666666666666667,0.06666666666666667,0.06666666666666667
2024-01-25,0.6755562480578159,0.5713089135896102,0.5411628313675108,0.6926477073490737,1.2167190794253264,1.263956620938684,0,0.007308480833333333,NA,NA,0,0.009287244,48,48,1,54.084757805291666,243.993,1.1481875000000283,2.117999999999995,0.4970000000000141,98.90318958333333,0.007326134842484068,0.01072862208546077,1.0999999999999999,0.19857595833333333,2.013031250000021,1,2,0,0,0,0,0,0
2024-01-26,0.6875818180792383,2.8378275224081686,0.5405763903679628,-1.5965045588573208,1.2281582084472007,1.2413229635508485,0.009489670369565217,0.028479876666666664,NA,NA,0.040218115,0.06987563,48,48,1,45.746162459649206,288.377,1.5742291666666919,3.2410000000000423,0.2810000000000059,96.00545,0.028617929639403773,0.0822802251659448,9.079999999999997,0.21852304347826088,1.8345543478261104,0.9583333333333333,1.9166666666666665,2,2,2,0.041666666666666664,0.041666666666666664,0.041666666666666664
2024-01-27,0.5986188921875557,0.6635638144751511,0.6235973398010627,0.5464222925476393,1.222216231988618,1.209986107022791,0.3601005882352941,0.04848266704166667,NA,NA,0.42657875,0.004591149999999999,48,48,1,56.594328703703724,264.19444444444446,1.6679166666666667,3.33,0.74,97.90208333333334,0.015226108889069386,0.05054750452977208,2.405,NA,NA,0,0,48,48,48,1,1,1
2024-01-28,0.481583137158851,0.32148897854027,0.7555819636153934,0.9969913202396313,1.2371651007742446,1.318480298779901,0.10159592553191489,0.06821596875,NA,NA,0.12124864444444444,0.07357845,48,48,1,57.47271527777778,325.362,2.111645833333335,3.17,1.16,92.66584583333334,0.053461037192300484,0.16882283898935302,0,0.22077966666666668,1.6381666666666963,0.0625,0.125,45,45,45,0.9375,0.9375,0.9375
2024-01-29,0.8679368246393456,0.42853186523220776,0.2809370563268091,0.8178133662079017,1.1488738809661545,1.2463452314401098,0.11105935555555556,0.06500777291666666,NA,NA,0.08497011,0.04816363,48,48,1,36.680555555555564,167.33333333333334,0.334375,1.18,-0.47,88.23125,0.07393304404162655,0.12422987086850712,0,NA,NA,0,0,48,48,48,1,1,1
2024-01-30,0.92317663854168,0.7418838294719998,0.213251050238419,0.4557511882889162,1.1364276887800988,1.1976350177609167,0.06367978333333334,0.031161515217391307,NA,NA,NA,0.0024079900000000005,9,9,1,17.87654320987654,55,0.40444444444444444,1.39,-0.5,96.02222222222223,0.023924796425842075,0.04549611060634495,0,NA,NA,0,0,9,9,9,1,1,1
2024-01-31,0.91580336669304,0.6621032675520004,0.2072491809522813,0.49189877894514306,1.1230525476453213,1.1540020464971428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-02-01,0.3735350131514721,0.6361190228868003,0.7752735694610652,0.5019017480206469,1.1488085826125376,1.138020770907447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-02-02,0.7171431920851558,1.3209528928715442,0.44139995016845823,-0.20580925023243082,1.1585431422536139,1.115143642639114,0.19819006666666666,NA,NA,NA,0.13820366666666667,NA,17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
2024-02-03,0.5656950096678157,0.7032389048030221,0.6129357870131114,0.393332831595059,1.1786307966809273,1.0965717363980814,0.08873709022727272,NA,NA,NA,0.010989706666666668,NA,45,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
2024-02-04,0.1703865049805042,-0.21904478705606825,0.9499379873433009,1.2338412289741225,1.1203244923238054,1.0147964419180537,0.43195783703703705,NA,NA,NA,0.7097506,NA,39,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
2024-02-05,0.1809624632754857,-0.17197616652698114,0.926090471078044,1.141625344188491,1.10705293435353,0.9696491776615097,0.3185699324324324,0.40372144374999996,NA,NA,0.4153395,0.31755345555555553,41,10,0.24390243902439024,NA,483.648,7.109400000000017,8.497000000000014,4.336000000000013,48.17601,0.5285326795956964,0.6266208286471018,0,0.1759429,0.8561000000000092,0.24390243902439007,0.48780487804878014,0,0,0,0,0,0
2024-02-06,0.22595585633762658,-0.09802135953380356,0.7785451244165044,1.0821438512186534,1.0045009807541305,0.9841224916848496,0.06650200583333332,0.07984914583333334,NA,NA,0.08923758999999999,0.10697677,48,48,1,67.34268293395834,386.98,0.1825625000000259,3.987000000000023,-1.9459999999999695,88.41203541666667,0.08004571653249976,0.3110307969686622,0,0.17652972916666668,1.3302604166666896,1,2,0,0,0,0,0,0
2024-02-07,0.39620541720714186,0.12193304503402314,0.7394502926243612,1.0247636896353611,1.1356557098315028,1.146696734669384,0.17102720142857145,0.14424715833333332,NA,NA,0.320333,0.263053,44,28,0.6363636363636364,NA,400.375,2.9758928571428784,7.362000000000023,-2.069999999999993,76.18133571428571,0.20826280138845166,0.43316480533315715,0,0.17402567857142856,1.9237321428571679,0.6363636363636364,1.2727272727272727,0,0,0,0,0,0
2024-02-08,0.5447592734760001,0.868751023248,0.800041828834976,0.40960359577300076,1.344801102310976,1.2783546190210004,0.5338879583333332,0.5765786875,NA,NA,0.825711,0.8971249,48,7,0.14583333333333334,NA,0,4.277857142857166,4.913000000000011,3.4770000000000323,69.08167142857143,0.25734486487163677,0.29151018585930377,0,0.1713562857142857,2.160714285714302,0.1458333333333334,0.2916666666666668,0,0,0,0,0,0
2024-02-09,2.0304618301727992,3.8856179601,-0.5389172742589419,-2.5293763712174053,1.4915445559138578,1.356241588882596,0.4014587931034483,0.5161864893617021,NA,NA,NA,0.5617095,29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
2024-02-10,1.8416477510906577,0.9181829562552001,-0.2757081216289961,0.46179578595871074,1.5659396294616608,1.3799787422139107,NA,0.178015075,NA,NA,NA,0.1603581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-02-11,1.7168863200876008,0.2211544036587928,-0.09505272004521606,1.1991478691600632,1.6218336000423839,1.4203022728188566,NA,0.166364375,NA,NA,NA,0.1625261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-02-12,0.540576298038692,-0.219760138454297,1.09140264089501,1.714403045643212,1.6319789389337027,1.494642907188915,0.29403368750000003,0.14440978541666666,NA,NA,0.29339544444444443,0.293188,17,10,0.5882352941176471,NA,565.491,3.273300000000023,4.369000000000028,1.4910000000000423,62.34155,0.29395953574891387,0.3594035316724137,0,0.1639223,1.5459000000000174,0.588235294117647,1.176470588235294,0,0,0,0,0,0
2024-02-13,0.9749545818158833,0.220041521494883,0.6259201501491395,1.2440789834092978,1.6008747319650225,1.4641205049041797,0.21197893333333334,0.15193168125,NA,NA,0.31151666666666666,0.2740894,44,33,0.75,67.87213108585858,334.757,-1.1901818181818107,0.9720000000000368,-4.02,74.65660303030303,0.15337681323987382,0.3190923859491025,0,0.16161928571428572,1.493678571428583,0.31818181818181807,0.6363636363636361,19,19,19,0.4318181818181818,0.4318181818181818,0.4318181818181818
2024-02-14,1.1337218963786562,-0.09749784193604638,0.4760003024583521,1.5332107408729434,1.609722198837008,1.435712898936897,0.19789611162790696,0.16821610687500002,NA,NA,0.33980899999999997,0.3073412,44,44,1,83.42798088787882,561.914,-1.1993863636363513,3.015000000000043,-5.03,71.811125,0.1749268052006478,0.36419759005294067,0,0.16079040909090908,1.614340909090934,0.5,1,22,22,22,0.5,0.5,0.5
