event_id,review_type,site,DateTime,NEE_raw,NEE_auto_screened,NEE_kept_for_diag,Rg,Ustar,VPD,wind_dir,qc_co2_flux,GrowingSeason,WinterWindow,is_daytime,is_transition,is_night,low_ustar,flag_fetch_excluded,flag_extreme_negative,auto_remove_nee,decision,reason
MD_large_negative_night_20250112_1830,large_negative_night,MD,2025-01-12T23:30:00Z,-34.92193,-34.92193,-34.92193,0.00259046,0.436877,NA,196.117,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillary period
MD_large_negative_transition_20250304_1700,large_negative_transition,MD,2025-03-04T22:00:00Z,-35.9897,-35.9897,-35.9897,11.1755,0.192718,0.123594,135.673,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,ossillary period
MD_large_negative_night_20250304_1830,large_negative_night,MD,2025-03-04T23:30:00Z,-33.34871,-33.34871,-33.34871,2.56766,0.246257,NA,120.641,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillary period
MD_large_negative_night_20250305_0400,large_negative_night,MD,2025-03-05T09:00:00Z,-33.48785,-33.48785,-33.48785,0,0.666132,NA,114.108,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillary period
MD_large_negative_night_20250515_2230,large_negative_night,MD,2025-05-16T02:30:00Z,-54.322,-54.322,-54.322,0.00533993,1.06818,0.421036,251.778,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
MD_large_negative_transition_20250812_1700,large_negative_transition,MD,2025-08-12T21:00:00Z,-36.31173,-36.31173,-36.31173,32.731,0.178764,NA,338.544,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,ossillary period
MD_large_negative_night_20251021_0400,large_negative_night,MD,2025-10-21T08:00:00Z,-35.81703,-35.81703,-35.81703,0,0.531456,NA,241.522,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
MD_large_negative_night_20251130_0400,large_negative_night,MD,2025-11-30T09:00:00Z,-52.9787,-52.9787,-52.9787,1.36E-04,0.22537,NA,90.0892,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
MD_large_negative_night_20251209_2330,large_negative_night,MD,2025-12-10T04:30:00Z,-40.8712,-40.8712,-40.8712,5.67E-05,0.330829,NA,128.978,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillary period
MD_large_negative_night_20251210_0000,large_negative_night,MD,2025-12-10T05:00:00Z,-45.69996,-45.69996,-45.69996,1.20E-04,0.346614,NA,132.301,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillary period
MD_large_negative_transition_20251226_1030,large_negative_transition,MD,2025-12-26T15:30:00Z,-30.5597079,-30.5597079,-30.5597079,28.5281,0.509816,NA,104.116,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,artifact
MD_large_negative_transition_20251228_1130,large_negative_transition,MD,2025-12-28T16:30:00Z,-35.24003,-35.24003,-35.24003,25.1463,0.406276,NA,122.919,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,ossillary period
MD_large_negative_night_20251228_1830,large_negative_night,MD,2025-12-28T23:30:00Z,-35.83056,-35.83056,-35.83056,3.07E-04,0.263058,NA,96.4392,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillary period
MD_large_negative_night_20251228_1900,large_negative_night,MD,2025-12-29T00:00:00Z,-40.23677,-40.23677,-40.23677,0,0.343097,NA,38.3569,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillary period
MD_large_negative_night_20251228_2200,large_negative_night,MD,2025-12-29T03:00:00Z,-30.87382,-30.87382,-30.87382,0,0.575808,NA,248.902,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillary period
