event_id,review_type,site,DateTime,NEE_raw,NEE_auto_screened,NEE_kept_for_diag,Rg,Ustar,VPD,wind_dir,qc_co2_flux,GrowingSeason,WinterWindow,is_daytime,is_night,low_ustar,flag_remove_high_positive,flag_impossible,auto_remove_nee,decision,reason
LD_high_night_20240716_0100,high_night,LD,2024-07-16T05:00:00Z,94.79876,94.79876,94.79876,0,0.376827,0,162.653,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillating pattern
LD_high_night_20240716_0230,high_night,LD,2024-07-16T06:30:00Z,87.04501,87.04501,87.04501,0,0.24414,0,266.546,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
LD_high_day_20240720_0800,high_day,LD,2024-07-20T12:00:00Z,55.3264,55.3264,55.3264,118.647,0.177776,0,233.6,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,isolated event
LD_high_day_20240729_1730,high_day,LD,2024-07-29T21:30:00Z,121.1799,121.1799,121.1799,82.8068,0.348288,0,121.966,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,isolated event
LD_high_day_20240729_1800,high_day,LD,2024-07-29T22:00:00Z,112.81805,112.81805,112.81805,110.472,0.246799,0,152.834,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,isolated event
LD_high_night_20240823_0400,high_night,LD,2024-08-23T08:00:00Z,86.776,86.776,86.776,5.60E-04,0.271238,0.0577107,162.539,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
LD_high_night_20240925_0300,high_night,LD,2024-09-25T07:00:00Z,58.99984,58.99984,58.99984,0,0.528779,0,300.753,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
LD_high_night_20240927_0300,high_night,LD,2024-09-27T07:00:00Z,70.3933,70.3933,70.3933,0,0.0135882,0,154.789,2,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,remove,sign change
LD_high_night_20241002_0630,high_night,LD,2024-10-02T10:30:00Z,71.1917,71.1917,71.1917,0,0.0852328,0,91.3785,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,remove,"low u*, extreme spike"
LD_high_night_20241025_0800,high_night,LD,2024-10-25T12:00:00Z,64.6239,64.6239,64.6239,0.0309471,0.287674,0,163.639,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
LD_high_night_20241101_0200,high_night,LD,2024-11-01T06:00:00Z,117.9456,117.9456,117.9456,0,0.865093,0.220334,271.11,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
LD_high_night_20241101_0230,high_night,LD,2024-11-01T06:30:00Z,62.30846,62.30846,62.30846,0,0.830612,0.206562,271.217,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
LD_high_night_20241101_0330,high_night,LD,2024-11-01T07:30:00Z,106.1144,106.1144,106.1144,0,0.613934,0.0952377,269.62,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
LD_high_night_20241101_0600,high_night,LD,2024-11-01T10:00:00Z,58.4792,58.4792,58.4792,0,0.571346,NA,304.816,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,unstable window
LD_high_night_20241103_2000,high_night,LD,2024-11-04T01:00:00Z,113.59287,113.59287,113.59287,0,0.582849,0.57407,114.429,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
LD_high_night_20241104_0230,high_night,LD,2024-11-04T07:30:00Z,65.2397,65.2397,65.2397,0,0.391086,0.015241,134.07,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
LD_high_day_20241104_1000,high_day,LD,2024-11-04T15:00:00Z,89.2234,89.2234,89.2234,59.6864,0.474508,NA,169.075,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,isolated event
LD_high_night_20241104_2000,high_night,LD,2024-11-05T01:00:00Z,112.4216,112.4216,112.4216,0,0.409713,NA,211.852,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
LD_high_night_20241105_2200,high_night,LD,2024-11-06T03:00:00Z,137.046,137.046,137.046,0,0.440183,NA,240.005,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,no coherant pulse
LD_high_night_20241105_2300,high_night,LD,2024-11-06T04:00:00Z,83.0601,83.0601,83.0601,0,0.43487,NA,242.94,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,no coherant pulse
LD_high_day_20241106_1630,high_day,LD,2024-11-06T21:30:00Z,121.85549,121.85549,121.85549,53.0579,0.32528,NA,298.238,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,isolated event
LD_high_night_20241114_0130,high_night,LD,2024-11-14T06:30:00Z,126.75516,126.75516,126.75516,7.64E-06,0.330571,NA,100.731,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
LD_high_night_20241114_0200,high_night,LD,2024-11-14T07:00:00Z,51.650371,51.650371,51.650371,5.47E-05,0.270592,NA,99.5501,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
LD_high_night_20241114_0500,high_night,LD,2024-11-14T10:00:00Z,123.78332,123.78332,123.78332,0,0.330235,NA,100.24,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
LD_high_night_20241114_0800,high_night,LD,2024-11-14T13:00:00Z,107.2326,107.2326,107.2326,0.930503,0.246164,NA,99.6464,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
