event_id,review_type,site,DateTime,NEE_raw,NEE_auto_screened,NEE_kept_for_diag,Rg,Ustar,VPD,wind_dir,qc_co2_flux,GrowingSeason,WinterWindow,is_daytime,is_night,low_ustar,flag_fetch_excluded,flag_remove_high_positive,flag_impossible,auto_remove_nee
LD_high_night_20241105_2200,high_night,LD,2024-11-06T03:00:00Z,137.046,137.046,137.046,0,0.440183,NA,240.005,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20241105_2300,high_night,LD,2024-11-06T04:00:00Z,83.0601,83.0601,83.0601,0,0.43487,NA,242.94,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_day_20241106_1630,high_day,LD,2024-11-06T21:30:00Z,121.85549,121.85549,121.85549,53.0579,0.32528,NA,298.238,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20241114_0130,high_night,LD,2024-11-14T06:30:00Z,126.75515999999999,126.75515999999999,126.75515999999999,7.64301e-6,0.330571,NA,100.731,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20241114_0200,high_night,LD,2024-11-14T07:00:00Z,51.650371,51.650371,51.650371,5.47331e-5,0.270592,NA,99.5501,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20241114_0500,high_night,LD,2024-11-14T10:00:00Z,123.78331999999999,123.78331999999999,123.78331999999999,0,0.330235,NA,100.24,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20241114_0800,high_night,LD,2024-11-14T13:00:00Z,107.23259999999999,107.23259999999999,107.23259999999999,0.930503,0.246164,NA,99.6464,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20241119_0430,high_night,LD,2024-11-19T09:30:00Z,73.80664,73.80664,73.80664,9.2208e-5,0.589543,0.215983,109.403,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20241119_0500,high_night,LD,2024-11-19T10:00:00Z,55.46510000000001,55.46510000000001,55.46510000000001,0,0.563899,0.133471,110.531,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_day_20241121_1100,high_day,LD,2024-11-21T16:00:00Z,141.442,141.442,141.442,150.464,0.359868,NA,201.265,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20241123_0200,high_night,LD,2024-11-23T07:00:00Z,55.457899999999995,55.457899999999995,55.457899999999995,0,0.790506,0.0061307900000000005,298.88,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20241215_0300,high_night,LD,2024-12-15T08:00:00Z,83.7408,83.7408,83.7408,0.00164766,0.650484,NA,99.4993,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20241215_0400,high_night,LD,2024-12-15T09:00:00Z,81.67214,81.67214,81.67214,7.13503e-4,0.791984,NA,106.898,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20241215_0830,high_night,LD,2024-12-15T13:30:00Z,115.18443,115.18443,115.18443,1.39709,0.687807,NA,116.29,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20241228_0030,high_night,LD,2024-12-28T05:30:00Z,63.524770000000004,63.524770000000004,63.524770000000004,0,0.442575,NA,132.377,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20241228_0100,high_night,LD,2024-12-28T06:00:00Z,69.30201,69.30201,69.30201,0,0.470197,NA,136.726,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240123_0830,high_night,MD,2024-01-23T13:30:00Z,97.81632,97.81632,97.81632,0.4722222222222222,0.22453,0.007923080351699419,137.973,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240123_0930,high_night,MD,2024-01-23T14:30:00Z,100.40270000000001,100.40270000000001,100.40270000000001,2.9722222222222223,0.846288,0.37216000000000005,131.595,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240123_1800,high_night,MD,2024-01-23T23:00:00Z,84.80212,84.80212,84.80212,4.444444444444445,0.394541,0.146735,84.362,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
