Date,Year,DaysSinceGSStart,LD_cum_NEE_gC,MD_cum_NEE_gC,LD_cum_GPP_gC,MD_cum_GPP_gC,LD_cum_Reco_gC,MD_cum_Reco_gC,MD_minus_LD_cum_NEE_gC,MD_minus_LD_cum_GPP_gC,MD_minus_LD_cum_Reco_gC
2025-04-25,2025,10,-13.883863813889405,-6.569962298225287,45.69884821844806,42.015304387705754,31.81498440455865,35.44534208948046,7.313901515664118,-3.683543830742309,3.6303576849218118
2025-04-26,2025,11,-17.54089575198478,-8.350719965585288,53.60353031956605,48.618197343678396,36.062634567581256,40.267477378093105,9.190175786399493,-4.985332975887651,4.204842810511849
2025-04-27,2025,12,-20.93502277646472,-10.62378640186627,61.54060388621566,55.63615262479974,40.605581109750936,45.012366222933466,10.31123637459845,-5.904451261415922,4.406785113182529
2025-04-28,2025,13,-23.564608783398867,-13.143732579126738,69.81072225214977,63.79485067582579,46.2461134687509,50.65111809669905,10.42087620427213,-6.015871576323981,4.405004627948152
2025-04-29,2025,14,-26.47912056268767,-15.857729515163538,79.19904850005244,72.96315387991811,52.71992793736477,57.10542436475456,10.621391047524131,-6.2358946201343315,4.385496427389789
2025-04-30,2025,15,-29.66799604071551,-18.564216944661535,87.2611746339685,80.35196867857543,57.59317859325297,61.787751733913886,11.103779096053977,-6.9092059553930625,4.194573140660914
2025-05-01,2025,16,-24.272348551422958,-19.302559728403534,87.29578312869567,86.31657692597655,63.02343457727271,67.014017197573,4.9697888230194245,-0.9792062027191264,3.9905826203002874
2025-05-02,2025,17,-28.3013779132325,-21.586475579107535,96.22606836071408,93.29342002978122,67.92469044748157,71.70694445067366,6.7149023341249645,-2.9326483309328637,3.7822540031920937
2025-05-03,2025,18,-30.717290693789103,-23.94496564997292,103.85534312194808,100.6913586392278,73.13805242815896,76.74639298925486,6.772325043816181,-3.1639844827202808,3.6083405610959005
2025-05-04,2025,19,-33.709693284117314,-26.88438428328877,112.31028556961041,108.97712307694023,78.60059228549308,82.092738793651435,6.825309000828543,-3.3331624926701835,3.4921465081583563
2025-05-05,2025,20,-36.053040696773664,-30.708169061871512,120.58027767473341,118.69136210374158,84.52723697795972,87.98319304187005,5.344871634902152,-1.888915570991827,3.4559560639103353
2025-05-06,2025,21,-36.08829165030488,-31.71199920823913,126.7675065362512,125.87705971259548,90.67921488594631,94.16506050435633,4.3762924420657505,-0.8904468236557221,3.485845618410025
2025-05-07,2025,22,-40.8365121132956,-36.427988173902136,137.9695022322693,137.15841947418554,97.13299011897368,100.73043130028339,4.408523939393461,-0.8110827580837565,3.597441181309705
2025-05-08,2025,23,-45.35114367789858,-39.838364759742134,148.17438876173551,146.33685264426273,102.82324508383694,106.49848788452057,5.512778918156442,-1.83753611747278,3.675242800683634
2025-05-09,2025,24,-49.58019377363236,-40.97210394351986,157.74924772556383,152.9104581655731,108.16905395193147,111.9383542220532,8.608089830112498,-4.838789559990744,3.7693002701217324
2025-05-10,2025,25,-55.34007170562156,-44.601635572074976,169.5865706035109,163.07012909739032,114.24649889788932,118.46849352531531,10.738436133546585,-6.516441506120572,4.221994627425985
2025-05-11,2025,26,-59.72568634789147,-48.464526522082274,180.12680843826357,174.00285322684758,120.40112209037208,125.53832670476527,11.261159825809195,-6.123955211415989,5.137204614393184
2025-05-12,2025,27,-62.1751510084631,-50.72895701635808,189.77684423440172,185.1416220677595,127.60169322593862,134.41266505140138,11.446193992105016,-4.635222166642222,6.810971825462758
2025-05-13,2025,28,-63.2731707882736,-51.39788739503018,198.48172509765644,195.67623603126736,135.20855430938283,144.27834863623713,11.875283393243421,-2.8054890663890717,9.069794326854293
2025-05-14,2025,29,-65.46711728492149,-53.07961914544584,208.38846529528834,207.5784856922214,142.92134801036687,154.49886654677547,12.387498139475646,-0.8099796030669495,11.577518536408604
2025-05-15,2025,30,-66.27206357414308,-54.29664113788364,217.07544485164857,219.50148681969267,150.8033812775055,165.20484568180896,11.975422436259436,2.426041968044103,14.401464404303454
2025-05-16,2025,31,-69.38896297174485,-55.579640991233354,228.17614281938216,231.88487825086503,158.78717984763733,176.3052372596316,13.809321980511491,3.7087354314828644,17.518057411994278
2025-05-17,2025,32,-68.42610229828843,-52.904789331100865,233.86087346540407,238.61502033942767,165.43477116711566,185.71023100832673,15.521312967187562,4.754146874023604,20.275459841211074
2025-05-18,2025,33,-74.82826613543708,-59.03727340030086,246.14091363580945,253.7581083768393,171.31264750037238,194.72083497653836,15.790992735136214,7.617194741029834,23.408187476165978
2025-05-19,2025,34,-79.4521698331624,-64.7622653208478,255.58523899591182,267.0972115761408,176.13306916274945,202.33494625529298,14.689904512314598,11.511972580228985,26.201877092543526
2025-05-20,2025,35,-76.0837229063037,-65.2625208858238,256.5857294218957,274.72035239164006,180.502006515592,209.45783150581624,10.821202020479902,18.134622969744385,28.955824990224244
2025-05-21,2025,36,-70.6599048472397,-62.328840142668106,255.07053364962417,278.6779023463565,184.4106288023845,216.34906220368842,8.331064704571595,23.60736869673235,31.93843340130391
2025-05-22,2025,37,-77.3507957297816,-67.67703937863611,264.699226256343,290.9151292538205,187.3484305265615,223.23808987518444,9.673756351145485,26.215902997477485,35.889659348622956
2025-05-23,2025,38,-83.18598728610131,-72.56049278488929,273.0535049561453,301.9460983838227,189.86751767004404,229.38560559893344,10.625494501212017,28.89259342767741,39.5180879288894
2025-05-24,2025,39,-88.72181146523555,-76.55373680961713,281.87972813248416,312.19844962963094,193.15791666724868,235.64471282001384,12.168074655618412,30.318721497146782,42.48679615276515
