plot_page,event_id,site,DateTime,NEE_raw,NEE_lag,NEE_lead,Rg,Tair,Ustar,qc_co2_flux,signal_strength,wind_dir
70,MD_Winter_positive_nighttime_NEE_20240125_0500,MD,2024-01-25T10:00:00Z,17.05343,0.16063000000000027,-11.21438,4.73368e-4,0.6590000000000487,0.0678837,1,68,354.69
71,MD_Winter_positive_nighttime_NEE_20240125_2300,MD,2024-01-26T04:00:00Z,19.05477,-3.409155,22.74141,2.12029e-4,0.2810000000000059,0.529157,2,60,52.9689
72,MD_Winter_positive_nighttime_NEE_20240125_2330,MD,2024-01-26T04:30:00Z,22.74141,19.05477,1.1710600000000007,4.77066e-4,0.382000000000005,0.523139,2,53,65.3033
73,MD_Winter_positive_nighttime_NEE_20240126_2200,MD,2024-01-27T03:00:00Z,18.00482,9.2335,-0.5776900000000005,0.1388888888888889,1.72,0.147252,0,52,65.6973
74,MD_Winter_positive_nighttime_NEE_20240127_0130,MD,2024-01-27T06:30:00Z,22.15056,-1.5600470000000002,3.4603800000000002,0.1388888888888889,1.09,0.074346,1,46,155.754
75,MD_Winter_positive_nighttime_NEE_20240128_0500,MD,2024-01-28T10:00:00Z,16.74287,3.13665,19.344099999999997,0.08333333333333333,1.65,0.293382,1,43,21.5779
76,MD_Winter_positive_nighttime_NEE_20240128_0530,MD,2024-01-28T10:30:00Z,19.344099999999997,16.74287,-0.2659699999999994,0.08333333333333333,1.65,0.270949,1,30,21.0502
77,MD_Winter_positive_nighttime_NEE_20240215_0830,MD,2024-02-15T13:30:00Z,27.153047,-4.20988,-26.278999999999996,0.1388888888888889,-1.31,0.532327,1,45,170.942
78,MD_Winter_positive_nighttime_NEE_20240215_0930,MD,2024-02-15T14:30:00Z,14.666800000000002,-26.278999999999996,-15.0313,1.6944444444444444,-0.84,0.0711311,1,34,310.23
79,MD_Winter_positive_nighttime_NEE_20240228_0030,MD,2024-02-28T05:30:00Z,13.666799999999999,-57.122719000000004,1.540131,0,14.143000000000029,0.610479,1,97,151.481
80,MD_Winter_positive_nighttime_NEE_20240228_0600,MD,2024-02-28T11:00:00Z,26.706220000000002,-172.8117,10.67632,0,-1.61099999999999,0.892869,1,48,326.944
81,MD_Winter_positive_nighttime_NEE_20240305_0030,MD,2024-03-05T05:30:00Z,17.488879999999998,0.14315500000000003,12.45604,0,15.326999999999998,0.253385,1,79,303.469
82,MD_Winter_positive_nighttime_NEE_20240305_0100,MD,2024-03-05T06:00:00Z,12.45604,17.488879999999998,15.71827,0,13.708000000000027,0.311631,1,71,315.685
83,MD_Winter_positive_nighttime_NEE_20240305_0130,MD,2024-03-05T06:30:00Z,15.71827,12.45604,-32.64374,0,12.958000000000027,0.287191,1,66,334.983
84,MD_Winter_positive_nighttime_NEE_20240305_0400,MD,2024-03-05T09:00:00Z,32.1516,-0.58476,-12.20195,0,8.850999999999999,0.17209,2,35,79.2048
85,MD_Winter_positive_nighttime_NEE_20240305_2330,MD,2024-03-06T04:30:00Z,25.60656,63.9775,-4.59939,0,6.081000000000017,0.398893,1,58,73.9543
86,MD_Winter_positive_nighttime_NEE_20240308_1800,MD,2024-03-08T23:00:00Z,22.047600000000003,-10.122364,13.41629,9.09618,5.837000000000046,0.428251,1,48,69.2427
87,MD_Winter_positive_nighttime_NEE_20240308_1830,MD,2024-03-08T23:30:00Z,13.41629,22.047600000000003,63.361005,4.29525,5.8799999999999955,0.41813,1,47,65.5701
88,MD_Winter_positive_nighttime_NEE_20240308_2200,MD,2024-03-09T03:00:00Z,19.494904,-13.470321,13.32361,0,4.819000000000017,0.387445,0,39,19.2257
89,MD_Winter_positive_nighttime_NEE_20240308_2230,MD,2024-03-09T03:30:00Z,13.32361,19.494904,8.125689999999999,0,4.621000000000038,0.408795,1,37,23.9847
90,MD_Winter_positive_nighttime_NEE_20240308_2330,MD,2024-03-09T04:30:00Z,21.839688000000002,8.125689999999999,-14.0083,0,4.545000000000016,0.388458,1,42,357.694
91,MD_Winter_positive_nighttime_NEE_20240309_0730,MD,2024-03-09T12:30:00Z,16.767918,5.11032,-14.63447,5.71144,0.7560000000000286,0.547694,1,53,317.126
92,MD_Winter_positive_nighttime_NEE_20240314_0330,MD,2024-03-14T07:30:00Z,42.361909999999995,10.98959,-8.04778,0,9.822000000000003,0.194014,1,81,32.278
93,MD_Winter_positive_nighttime_NEE_20240314_2000,MD,2024-03-15T00:00:00Z,22.149695,2.5787100000000005,-53.5388,0.744743,6.677000000000021,0.439962,0,39,40.3721
94,MD_Winter_positive_nighttime_NEE_20240314_2100,MD,2024-03-15T01:00:00Z,12.753910000000001,-53.5388,23.42848,0,6.716000000000008,0.289651,0,40,29.5946
95,MD_Winter_positive_nighttime_NEE_20240314_2130,MD,2024-03-15T01:30:00Z,23.42848,12.753910000000001,-1.6811100000000003,0,6.747000000000014,0.390202,1,42,15.6526
96,MD_Winter_positive_nighttime_NEE_20240321_0230,MD,2024-03-21T06:30:00Z,22.452185,5.016147,12.434503,6.41758e-4,-7.763999999999953,0.542363,0,100,224.801
97,MD_Winter_positive_nighttime_NEE_20240321_0300,MD,2024-03-21T07:00:00Z,12.434503,22.452185,23.769321,6.06749e-4,-7.530999999999949,0.57956,0,100,240.364
98,MD_Winter_positive_nighttime_NEE_20240321_0330,MD,2024-03-21T07:30:00Z,23.769321,12.434503,21.326991,5.49304e-4,-7.495999999999981,0.62159,0,100,227.139
99,MD_Winter_positive_nighttime_NEE_20240321_0400,MD,2024-03-21T08:00:00Z,21.326991,23.769321,12.521917,5.32786e-4,-7.328999999999951,0.630405,0,100,228.331
100,MD_Winter_positive_nighttime_NEE_20240321_0430,MD,2024-03-21T08:30:00Z,12.521917,21.326991,18.605411,5.16513e-4,-7.7169999999999845,0.580608,0,100,242.816
101,MD_Winter_positive_nighttime_NEE_20240321_0500,MD,2024-03-21T09:00:00Z,18.605411,12.521917,1.363548,2.89691e-4,-7.6370000000000005,0.667304,0,100,250.404
102,MD_Winter_positive_nighttime_NEE_20240326_0200,MD,2024-03-26T06:00:00Z,18.606949999999998,-2.7333659999999997,-34.45596,0,14.293000000000006,0.24507,1,90,148.049
103,MD_Winter_positive_nighttime_NEE_20240326_0400,MD,2024-03-26T08:00:00Z,16.39,-7.213913999999999,86.52055,0,9.670000000000016,0.402752,0,58,154.041
104,MD_Winter_positive_nighttime_NEE_20240326_0900,MD,2024-03-26T13:00:00Z,14.556980000000001,-21.111269999999998,67.65886,7.26895,8.887,0.963657,1,63,159.304
105,MD_Winter_positive_nighttime_NEE_20241101_0430,MD,2024-11-01T08:30:00Z,14.43827,-6.5387,2.57787,0,6.063000000000045,0.410129,1,76,275.911
106,MD_Winter_positive_nighttime_NEE_20241102_0300,MD,2024-11-02T07:00:00Z,14.996080000000001,3.848094,29.129600000000003,0,-1.2999999999999545,0.0321587,2,43,115.553
107,MD_Winter_positive_nighttime_NEE_20241102_0330,MD,2024-11-02T07:30:00Z,29.129600000000003,14.996080000000001,2.4107700000000003,0,-0.7450000000000045,0.0666245,2,38,135.375
108,MD_Winter_positive_nighttime_NEE_20241103_2000,MD,2024-11-04T01:00:00Z,20.319399999999998,5.483560000000001,14.380279999999999,0,11.466000000000008,0.793373,1,86,128.705
109,MD_Winter_positive_nighttime_NEE_20241103_2030,MD,2024-11-04T01:30:00Z,14.380279999999999,20.319399999999998,18.34535,0,10.492000000000019,0.622844,2,78,140.237
110,MD_Winter_positive_nighttime_NEE_20241103_2100,MD,2024-11-04T02:00:00Z,18.34535,14.380279999999999,-1.8929399999999998,0,10.861000000000047,0.68348,2,90,132.754
111,MD_Winter_positive_nighttime_NEE_20241103_2230,MD,2024-11-04T03:30:00Z,19.13592,7.966145,24.415713,0,11.241000000000042,0.660983,0,81,133.463
112,MD_Winter_positive_nighttime_NEE_20241103_2300,MD,2024-11-04T04:00:00Z,24.415713,19.13592,-22.51626,0,11.555000000000007,0.610692,1,74,139.396
113,MD_Winter_positive_nighttime_NEE_20241104_0300,MD,2024-11-04T08:00:00Z,13.249460000000001,2.948569,1.07525,0,11.55600000000004,0.424907,1,74,147.986
114,MD_Winter_positive_nighttime_NEE_20241104_0700,MD,2024-11-04T12:00:00Z,15.282002,8.235321,-0.1452199999999999,3.43931e-4,15.043000000000006,0.454011,2,71,191.453
115,MD_Winter_positive_nighttime_NEE_20241105_0500,MD,2024-11-05T10:00:00Z,28.898699999999998,-0.7300660000000001,15.468715,0,16.95500000000004,0.44019200000000003,1,69,190.142
116,MD_Winter_positive_nighttime_NEE_20241105_0530,MD,2024-11-05T10:30:00Z,15.468715,28.898699999999998,-20.414559999999998,0,16.91500000000002,0.586949,1,65,177.466
117,MD_Winter_positive_nighttime_NEE_20241105_0800,MD,2024-11-05T13:00:00Z,20.179779999999997,-3.925877,15.979571,1.83357,16.670000000000016,0.528808,1,70,194.705
118,MD_Winter_positive_nighttime_NEE_20241105_0830,MD,2024-11-05T13:30:00Z,15.979571,20.179779999999997,10.787737199999999,6.67235,16.67500000000001,0.580024,0,77,195.551
119,MD_Winter_positive_nighttime_NEE_20241105_1730,MD,2024-11-05T22:30:00Z,16.00937,-7.035990000000001,-15.711450000000001,1.82115,18.140000000000043,0.546177,1,67,188.055
120,MD_Winter_positive_nighttime_NEE_20241105_2000,MD,2024-11-06T01:00:00Z,30.640750999999998,3.5245900000000003,-29.212183,0,17.04400000000004,0.539819,0,66,189.219
121,MD_Winter_positive_nighttime_NEE_20241105_2100,MD,2024-11-06T02:00:00Z,24.18233,-29.212183,13.414705,0,16.759000000000015,0.639124,1,69,238.421
122,MD_Winter_positive_nighttime_NEE_20241105_2130,MD,2024-11-06T02:30:00Z,13.414705,24.18233,-11.53387,0,15.795000000000016,0.569636,0,67,231.852
123,MD_Winter_positive_nighttime_NEE_20241113_2130,MD,2024-11-14T02:30:00Z,30.57364,11.54043,4.59271,0,7.733000000000004,0.544991,1,80,134.864
124,MD_Winter_positive_nighttime_NEE_20241113_2230,MD,2024-11-14T03:30:00Z,21.805229999999998,4.59271,12.835819999999998,7.93878e-5,7.360000000000014,0.240163,1,77,130.58
125,MD_Winter_positive_nighttime_NEE_20241113_2300,MD,2024-11-14T04:00:00Z,12.835819999999998,21.805229999999998,-3.771977,0,6.3559999999999945,0.265288,1,68,124.808
126,MD_Winter_positive_nighttime_NEE_20241114_0000,MD,2024-11-14T05:00:00Z,13.245415000000001,-3.771977,16.3944151,2.01181e-4,5.722000000000037,0.367386,0,70,137.167
127,MD_Winter_positive_nighttime_NEE_20241114_0030,MD,2024-11-14T05:30:00Z,16.3944151,13.245415000000001,3.96049,3.20756e-4,5.7309999999999945,0.395115,1,71,120.313
128,MD_Winter_positive_nighttime_NEE_20241114_0200,MD,2024-11-14T07:00:00Z,12.46658,-51.415850000000006,24.792839999999998,5.47331e-5,5.710000000000036,0.437933,2,66,104.949
129,MD_Winter_positive_nighttime_NEE_20241114_0230,MD,2024-11-14T07:30:00Z,24.792839999999998,12.46658,12.864225,0,5.6200000000000045,0.53649,1,65,103.952
130,MD_Winter_positive_nighttime_NEE_20241114_0300,MD,2024-11-14T08:00:00Z,12.864225,24.792839999999998,-1.9614330000000002,0,5.571000000000026,0.46253,1,70,109.951
131,MD_Winter_positive_nighttime_NEE_20241114_0400,MD,2024-11-14T09:00:00Z,28.583830000000003,-1.9614330000000002,24.029850000000003,0,5.572000000000003,0.556013,0,66,109.845
132,MD_Winter_positive_nighttime_NEE_20241114_0430,MD,2024-11-14T09:30:00Z,24.029850000000003,28.583830000000003,7.01809,2.71201e-5,5.455000000000041,0.588426,1,54,106.5
133,MD_Winter_positive_nighttime_NEE_20241114_0530,MD,2024-11-14T10:30:00Z,14.310189000000001,7.01809,-4.53197,0,5.587000000000046,0.51661,1,52,107.95
134,MD_Winter_positive_nighttime_NEE_20241114_0700,MD,2024-11-14T12:00:00Z,42.767959999999995,-44.74802,0.61048792,3.67354e-5,5.6410000000000196,0.50143,1,49,111.456
135,MD_Winter_positive_nighttime_NEE_20241116_0100,MD,2024-11-16T06:00:00Z,33.66006,1.8440619999999999,9.485481,0.00134811,7.455000000000041,0.0338249,1,100,332.447
136,MD_Winter_positive_nighttime_NEE_20241116_0330,MD,2024-11-16T08:30:00Z,12.86255,6.696625,2.10279,0.00146276,7.6650000000000205,0.211524,2,100,143.597
137,MD_Winter_positive_nighttime_NEE_20241117_2230,MD,2024-11-18T03:30:00Z,70.2241,5.888529999999999,36.2261,7.92644e-4,9.329000000000008,0.146894,1,34,257.151
138,MD_Winter_positive_nighttime_NEE_20241117_2300,MD,2024-11-18T04:00:00Z,36.2261,70.2241,5.956297,9.88155e-4,9.07000000000005,0.176362,1,20,255.927
139,MD_Winter_positive_nighttime_NEE_20241118_0330,MD,2024-11-18T08:30:00Z,19.924029,1.00012,7.214554000000001,0.00158578,5.722000000000037,0.101671,1,19,191.503
140,MD_Winter_positive_nighttime_NEE_20241118_2030,MD,2024-11-19T01:30:00Z,43.07655,-8.70248,40.07373,1.35601e-5,8.2960000000000491,0.466631,1,60,109.312
141,MD_Winter_positive_nighttime_NEE_20241118_2100,MD,2024-11-19T02:00:00Z,40.07373,43.07655,-10.0532,0,8.297000000000025,0.52562,1,51,104.068
142,MD_Winter_positive_nighttime_NEE_20241118_2200,MD,2024-11-19T03:00:00Z,32.700808,-10.0532,2.130769,0,8.436000000000035,0.63103,2,62,112.856
143,MD_Winter_positive_nighttime_NEE_20241118_2300,MD,2024-11-19T04:00:00Z,19.735409999999998,2.130769,1.3973000000000004,0,8.675000000000011,0.776159,1,67,113.465
144,MD_Winter_positive_nighttime_NEE_20241119_0400,MD,2024-11-19T09:00:00Z,16.425440000000002,2.316951,12.96648,2.92896e-4,9.788000000000011,0.78651,1,98,122.02
145,MD_Winter_positive_nighttime_NEE_20241119_0430,MD,2024-11-19T09:30:00Z,12.96648,16.425440000000002,60.5683,9.2208e-5,9.934000000000026,0.771119,1,93,122.334
146,MD_Winter_positive_nighttime_NEE_20241119_0500,MD,2024-11-19T10:00:00Z,60.5683,12.96648,2.232048,0,10.006000000000029,0.735753,2,64,123.185
147,MD_Winter_positive_nighttime_NEE_20241119_0700,MD,2024-11-19T12:00:00Z,18.23041,-1.5176499999999997,-46.313219999999994,0,10.68300000000005,0.76459,1,46,125.383
148,MD_Winter_positive_nighttime_NEE_20241120_2000,MD,2024-11-21T01:00:00Z,36.69399,3.0118818,7.3024700000000005,0,3.4740000000000464,0.798351,2,88,271.162
149,MD_Winter_positive_nighttime_NEE_20241120_2130,MD,2024-11-21T02:30:00Z,18.779870000000003,1.24619,10.843122,0,3.011000000000024,0.44642,2,74,280.799
